2026-04-17 08:11:19,683 | INFO | leadgen.email_txt | galarson.com: +1 raw hits (deduped globally)
2026-04-17 08:11:23,595 | INFO | leadgen.email_txt | gensteel.com: +1 raw hits (deduped globally)
2026-04-17 08:11:25,066 | INFO | leadgen.email_txt | glencoelectric.ca: +2 raw hits (deduped globally)
2026-04-17 08:11:25,923 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: gordiehoweinternationalbridge.com
2026-04-17 08:11:32,738 | INFO | leadgen.email_txt | gordiethepoolguy.com: +7 raw hits (deduped globally)
2026-04-17 08:11:35,438 | INFO | leadgen.email_txt | goodmanmfg.com: +1 raw hits (deduped globally)
2026-04-17 08:11:38,453 | INFO | leadgen.email_txt | groundsguys.ca: +1 raw hits (deduped globally)
2026-04-17 08:11:41,744 | INFO | leadgen.email_txt | gpainc.ca: +1 raw hits (deduped globally)
2026-04-17 08:11:56,552 | INFO | leadgen.email_txt | hallelectrical.ca: +1 raw hits (deduped globally)
2026-04-17 08:12:04,622 | INFO | leadgen.email_txt | gtageneralcontractors.com: +2 raw hits (deduped globally)
2026-04-17 08:12:08,874 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: homeguide.com
2026-04-17 08:12:12,266 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: homestars.com
2026-04-17 08:12:20,623 | INFO | leadgen.email_txt | hookagency.com: +3 raw hits (deduped globally)
2026-04-17 08:12:23,440 | INFO | leadgen.email_txt | hotwire-electric.com: +1 raw hits (deduped globally)
2026-04-17 08:12:27,801 | INFO | leadgen.email_txt | houseura.com: +2 raw hits (deduped globally)
2026-04-17 08:12:29,342 | INFO | leadgen.email_txt | houle.ca: +1 raw hits (deduped globally)
2026-04-17 08:12:35,224 | INFO | leadgen.email_txt | housecallpro.com: +1 raw hits (deduped globally)
2026-04-17 08:12:37,856 | INFO | leadgen.email_txt | hrai.ca: +3 raw hits (deduped globally)
2026-04-17 08:12:42,433 | INFO | leadgen.email_txt | hpacmag.com: +1 raw hits (deduped globally)
2026-04-17 08:12:44,966 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: hvacnearme.ca
2026-04-17 08:12:46,671 | INFO | leadgen.email_txt | hvacdirectory.co: +1 raw hits (deduped globally)
2026-04-17 08:12:48,714 | INFO | leadgen.email_txt | hvaccanadaltd.ca: +1 raw hits (deduped globally)
2026-04-17 08:12:51,589 | INFO | leadgen.email_txt | hvacontario.ca: +1 raw hits (deduped globally)
2026-04-17 08:13:00,138 | INFO | leadgen.email_txt | insidermonkey.com: +3 raw hits (deduped globally)
2026-04-17 08:13:02,678 | INFO | leadgen.email_txt | industryweek.com: +13 raw hits (deduped globally)
2026-04-17 08:13:07,162 | INFO | leadgen.email_txt | insurance.ca.gov: +1 raw hits (deduped globally)
2026-04-17 08:13:11,929 | INFO | leadgen.email_txt | interstateair.com: +1 raw hits (deduped globally)
2026-04-17 08:13:13,825 | INFO | leadgen.email_txt | internationalbrandequity.com: +2 raw hits (deduped globally)
2026-04-17 08:13:14,379 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: guardianpools.com
2026-04-17 08:13:17,641 | INFO | leadgen.email_txt | homedepot.ca: +1 raw hits (deduped globally)
2026-04-17 08:13:19,026 | INFO | leadgen.email_txt | inventiva.co.in: +1 raw hits (deduped globally)
2026-04-17 08:13:21,693 | INFO | leadgen.email_txt | ipsdb.com: +1 raw hits (deduped globally)
2026-04-17 08:13:26,373 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: itnowtechnologies.com
2026-04-17 08:13:28,590 | INFO | leadgen.email_txt | justswimpoolservices.com: +2 raw hits (deduped globally)
2026-04-17 08:13:30,276 | INFO | leadgen.email_txt | jea.com: +1 raw hits (deduped globally)
